               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088437,            0.072438,            0.069419,             0.21095,             0.32621,             0.18725,            0.076528,            0.070133,             0.15097,            0.070339,            0.070144,           0.0033173,           0.0033173
                   1,            0.064007,            0.049018,            0.059297,              0.5528,             0.25978,             0.15277,            0.066852,            0.058498,             0.14541,            0.066662,            0.040034,           0.0065409,           0.0065409
                   2,            0.061158,            0.046563,            0.053716,              0.2794,             0.31337,             0.17916,            0.084398,             0.05217,              0.1562,            0.062355,           0.0098148,           0.0096545,           0.0096545
                   3,            0.053955,            0.043679,            0.048438,             0.29439,              0.4134,             0.30163,              0.1461,            0.046957,             0.14091,            0.058842,            0.009505,            0.009505,            0.009505
                   4,            0.046442,            0.044501,            0.044646,             0.32064,             0.57732,             0.38298,              0.2271,            0.039305,             0.12812,            0.055689,            0.009505,            0.009505,            0.009505
                   5,            0.042271,            0.040595,            0.039004,             0.33889,             0.52301,             0.50034,              0.3185,            0.038074,             0.12388,            0.049606,             0.00934,             0.00934,             0.00934
                   6,            0.040354,             0.03846,            0.035986,             0.44891,              0.5896,             0.49714,             0.32094,            0.039017,             0.12476,            0.048815,            0.009175,            0.009175,            0.009175
                   7,            0.039625,            0.037228,            0.032133,             0.45012,             0.58008,              0.5584,             0.39906,            0.034915,             0.12003,             0.04096,             0.00901,             0.00901,             0.00901
                   8,            0.038306,            0.038766,            0.029722,             0.47515,             0.58639,             0.48418,             0.32305,            0.032531,             0.12293,            0.043583,            0.008845,            0.008845,            0.008845
                   9,            0.036038,            0.036945,            0.028618,             0.57147,             0.58041,              0.5976,             0.41282,            0.037141,             0.12756,            0.044374,             0.00868,             0.00868,             0.00868
                  10,            0.034085,             0.03308,            0.025026,             0.53086,             0.56233,             0.55587,               0.371,            0.037225,             0.11747,            0.041596,            0.008515,            0.008515,            0.008515
                  11,            0.034707,            0.037824,            0.023163,             0.47587,             0.76159,             0.63318,             0.45027,            0.030546,             0.11694,            0.037888,             0.00835,             0.00835,             0.00835
                  12,            0.033865,            0.035084,             0.02254,             0.49218,             0.77127,             0.68798,             0.50648,            0.031751,              0.1125,            0.034225,            0.008185,            0.008185,            0.008185
                  13,            0.033496,            0.033706,            0.021047,             0.46803,             0.78025,             0.56296,             0.40575,            0.032493,             0.11526,            0.053793,             0.00802,             0.00802,             0.00802
